rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data
1477388579585984449,,193086,,1477388579,578307391,'',"""\n$GPGGA,094320.55,5603.97648067,N,00823.34400150,E,4,15,0.7,22.194,M,40.732,M,2.5,0015*7E"""
1477388579587983004,,193087,,1477388579,586362661,'',"""\n$GPHDT,125.271,T*37"""
1477388579635573792,,193088,,1477388579,635054514,'',"""\n$GPGGA,094320.60,5603.97642847,N,00823.34395644,E,4,15,0.7,22.210,M,40.732,M,2.6,0015*7D"""
1477388579641308991,,193089,,1477388579,636348451,'',"""\n$GPHDT,124.308,T*39"""
1477388579678881301,,193090,,1477388579,677113368,'',"""\n$GPGGA,094320.65,5603.97637229,N,00823.34389516,E,4,15,0.7,22.218,M,40.732,M,2.7,0015*78"""
1477388579680105559,,193091,,1477388579,679619181,'',"""\n$GPHDT,122.956,T*3E"""
1477388579727823106,,193092,,1477388579,727278840,'',"""\n$GPGGA,094320.70,5603.97632133,N,00823.34383423,E,4,15,0.7,22.211,M,40.732,M,2.7,0015*75"""
1477388579728972259,,193093,,1477388579,728821240,'',"""\n$GPHDT,123.101,T*35"""
1477388579778056070,,193094,,1477388579,777249071,'',"""\n$GPGGA,094320.75,5603.97626703,N,00823.34379025,E,4,15,0.7,22.210,M,40.732,M,2.8,0015*79"""
1477388579780327647,,193095,,1477388579,778902779,'',"""\n$GPHDT,124.868,T*34"""
1477388579842403253,,193096,,1477388579,841828945,'',"""\n$GPGGA,094320.80,5603.97621029,N,00823.34375398,E,4,15,0.7,22.236,M,40.732,M,2.8,0015*76"""
1477388579843961931,,193097,,1477388579,843446414,'',"""\n$GPHDT,125.188,T*32"""
1477388579884414670,,193098,,1477388579,878358172,'',"""\n$GPGGA,094320.85,5603.97615281,N,00823.34371125,E,4,15,0.7,22.243,M,40.732,M,2.8,0015*76"""
1477388579884489872,,193099,,1477388579,879985751,'',"""\n$GPHDT,123.251,T*33"""
1477388579928420439,,193100,,1477388579,927164961,'',"""\n$GPGGA,094320.90,5603.97609627,N,00823.34367323,E,4,15,0.7,22.253,M,40.732,M,2.9,0015*74"""
1477388579928784054,,193101,,1477388579,928479997,'',"""\n$GPHDT,123.188,T*34"""
1477388579995506797,,193102,,1477388579,979524886,'',"""\n$GPGGA,094320.95,5603.97603347,N,00823.34362259,E,4,14,0.8,22.235,M,40.732,M,2.0,0015*76"""
1477388579995541091,,193103,,1477388579,980035857,'',"""\n$GPHDT,124.087,T*3D"""
1477388580047423145,,193104,,1477388580,46952144,'',"""\n$GPGGA,094321.00,5603.97597535,N,00823.34357491,E,4,14,0.8,22.236,M,40.732,M,2.0,0015*71"""
1477388580047746510,,193105,,1477388580,47344333,'',"""\n$GPHDT,125.423,T*36"""
1477388580078074935,,193106,,1477388580,77239289,'',"""\n$GPGGA,094321.05,5603.97591519,N,00823.34352271,E,4,14,0.8,22.245,M,40.732,M,2.0,0015*75"""
1477388580079325956,,193107,,1477388580,78940717,'',"""\n$GPHDT,124.878,T*35"""
1477388580126837459,,193108,,1477388580,126505091,'',"""\n$GPGGA,094321.10,5603.97586121,N,00823.34346772,E,4,14,0.8,22.259,M,40.732,M,2.1,0015*77"""
1477388580128528125,,193109,,1477388580,128209914,'',"""\n$GPHDT,123.559,T*3C"""
1477388580179993851,,193110,,1477388580,177649495,'',"""\n$GPGGA,094321.15,5603.97580691,N,00823.34341837,E,4,14,0.8,22.263,M,40.732,M,2.2,0015*7B"""
1477388580180007425,,193111,,1477388580,179334073,'',"""\n$GPHDT,123.571,T*36"""
1477388580235901821,,193112,,1477388580,235762687,'',"""\n$GPGGA,094321.20,5603.97574642,N,00823.34337069,E,4,14,0.8,22.263,M,40.732,M,2.2,0015*7A"""
1477388580235911365,,193113,,1477388580,235801950,'',"""\n$GPHDT,124.835,T*3C"""
1477388580284886919,,193114,,1477388580,283783725,'',"""\n$GPGGA,094321.25,5603.97569004,N,00823.34331340,E,4,14,0.8,22.271,M,40.732,M,2.3,0015*7B"""
1477388580284919944,,193115,,1477388580,283897788,'',"""\n$GPHDT,124.994,T*36"""
1477388580326899824,,193116,,1477388580,326691230,'',"""\n$GPGGA,094321.30,5603.97563714,N,00823.34325951,E,4,14,0.8,22.269,M,40.732,M,2.3,0015*75"""
1477388580328464105,,193117,,1477388580,328352009,'',"""\n$GPHDT,123.782,T*38"""
1477388580377588265,,193118,,1477388580,377494599,'',"""\n$GPGGA,094321.35,5603.97557806,N,00823.34322153,E,4,14,0.8,22.270,M,40.732,M,2.3,0015*7E"""
1477388580379284489,,193119,,1477388580,379201270,'',"""\n$GPHDT,123.567,T*31"""
1477388580440583521,,193120,,1477388580,435481465,'',"""\n$GPGGA,094321.40,5603.97551459,N,00823.34317784,E,4,14,0.8,22.282,M,40.732,M,2.4,0015*7C"""
1477388580440661467,,193121,,1477388580,436203935,'',"""\n$GPHDT,125.014,T*36"""
1477388580483074028,,193122,,1477388580,479879150,'',"""\n$GPGGA,094321.45,5603.97545894,N,00823.34308783,E,4,14,0.8,22.312,M,40.732,M,2.5,0015*71"""
1477388580483116215,,193123,,1477388580,480221937,'',"""\n$GPHDT,125.874,T*38"""
1477388580527181763,,193124,,1477388580,526460563,'',"""\n$GPGGA,094321.50,5603.97542326,N,00823.34303886,E,4,14,0.8,22.300,M,40.732,M,2.5,0015*72"""
1477388580528923157,,193125,,1477388580,528735307,'',"""\n$GPHDT,124.518,T*3E"""
1477388580578046541,,193126,,1477388580,577516479,'',"""\n$GPGGA,094321.55,5603.97536308,N,00823.34299926,E,4,14,0.8,22.295,M,40.732,M,2.5,0015*7C"""
1477388580579657328,,193127,,1477388580,579312070,'',"""\n$GPHDT,123.985,T*31"""
1477388580636139545,,193128,,1477388580,635159438,'',"""\n$GPGGA,094321.60,5603.97529380,N,00823.34295404,E,4,14,0.8,22.287,M,40.732,M,2.6,0015*75"""
1477388580636904203,,193129,,1477388580,636501495,'',"""\n$GPHDT,124.340,T*35"""
1477388580675888346,,193130,,1477388580,675745740,'',"""\n$GPGGA,094321.65,5603.97522770,N,00823.34290345,E,4,14,0.8,22.303,M,40.732,M,2.7,0015*7B"""
1477388580678098948,,193131,,1477388580,677948313,'',"""\n$GPHDT,124.617,T*32"""
1477388580727445116,,193132,,1477388580,726989632,'',"""\n$GPGGA,094321.70,5603.97518267,N,00823.34282682,E,4,14,0.8,22.320,M,40.732,M,2.7,0015*79"""
1477388580729425152,,193133,,1477388580,728799509,'',"""\n$GPHDT,124.441,T*33"""
1477388580777833918,,193134,,1477388580,777559801,'',"""\n$GPGGA,094321.75,5603.97511663,N,00823.34274242,E,4,14,0.8,22.338,M,40.732,M,2.8,0015*72"""
1477388580779437528,,193135,,1477388580,779272808,'',"""\n$GPHDT,124.439,T*3C"""
1477388580834711201,,193136,,1477388580,834494053,'',"""\n$GPGGA,094321.80,5603.97505960,N,00823.34268856,E,4,14,0.8,22.320,M,40.732,M,2.8,0015*7A"""
1477388580840040866,,193137,,1477388580,836175939,'',"""\n$GPHDT,124.488,T*36"""
1477388580877438466,,193138,,1477388580,877297288,'',"""\n$GPGGA,094321.85,5603.97498382,N,00823.34265625,E,4,14,0.8,22.321,M,40.732,M,2.8,0015*7A"""
1477388580879078622,,193139,,1477388580,878967965,'',"""\n$GPHDT,123.505,T*35"""
1477388580927576360,,193140,,1477388580,927253891,'',"""\n$GPGGA,094321.90,5603.97492504,N,00823.34260835,E,4,14,0.8,22.366,M,40.732,M,2.9,0015*74"""
1477388580929065680,,193141,,1477388580,928903575,'',"""\n$GPHDT,122.209,T*3F"""
1477388580980333861,,193142,,1477388580,979972821,'',"""\n$GPGGA,094321.95,5603.97487584,N,00823.34254422,E,4,14,0.8,22.362,M,40.732,M,3.0,0015*7C"""
1477388580980442570,,193143,,1477388580,980120719,'',"""\n$GPHDT,123.257,T*35"""
1477388581048087639,,193144,,1477388581,44818701,'',"""\n$GPGGA,094322.00,5603.97481693,N,00823.34247522,E,4,14,0.8,22.355,M,40.732,M,3.0,0015*77"""
1477388581048093705,,193145,,1477388581,46687327,'',"""\n$GPHDT,124.154,T*32"""
1477388581088608643,,193146,,1477388581,77741630,'',"""\n$GPGGA,094322.05,5603.97476601,N,00823.34241283,E,4,14,0.8,22.366,M,40.732,M,3.0,0015*7B"""
1477388581088628296,,193147,,1477388581,79009672,'',"""\n$GPHDT,123.925,T*3B"""
1477388581135411705,,193148,,1477388581,127842630,'',"""\n$GPGGA,094322.10,5603.97470752,N,00823.34235647,E,4,14,0.8,22.361,M,40.732,M,3.1,0015*77"""
1477388581135418756,,193149,,1477388581,130416285,'',"""\n$GPHDT,122.465,T*33"""
1477388581177878356,,193150,,1477388581,177558459,'',"""\n$GPGGA,094322.15,5603.97463954,N,00823.34230917,E,4,14,0.8,22.368,M,40.732,M,3.2,0015*7D"""
1477388581179542970,,193151,,1477388581,179310983,'',"""\n$GPHDT,121.094,T*3A"""
1477388581237437867,,193152,,1477388581,235661649,'',"""\n$GPGGA,094322.20,5603.97457218,N,00823.34225199,E,4,14,0.8,22.374,M,40.732,M,3.2,0015*78"""
1477388581237499081,,193153,,1477388581,236828150,'',"""\n$GPHDT,122.298,T*37"""
1477388581278724551,,193154,,1477388581,277246337,'',"""\n$GPGGA,094322.25,5603.97450652,N,00823.34217845,E,4,14,0.8,22.383,M,40.732,M,3.3,0015*70"""
1477388581279695843,,193155,,1477388581,279148186,'',"""\n$GPHDT,123.695,T*3F"""
